model,quant,acc_ru,acc_en,gap_en_minus_ru_pp,ci_lo_pp,ci_hi_pp
qwen3.5-0.8b,F16,0.5000,0.5867,8.7,4.8,12.5
qwen3.5-0.8b,Q8_0,0.4917,0.5817,9.0,5.2,12.8
qwen3.5-0.8b,Q6_K,0.4967,0.5867,9.0,5.2,12.8
qwen3.5-0.8b,Q5_K_M,0.4933,0.5783,8.5,4.5,12.5
qwen3.5-0.8b,Q4_K_M,0.4833,0.5800,9.7,5.8,13.5
qwen3.5-0.8b,Q3_K_M,0.3767,0.4917,11.5,7.7,15.3
qwen3.5-0.8b,Q2_K,0.2433,0.2800,3.7,-0.3,7.8
qwen3.5-2b,F16,0.5850,0.6917,10.7,7.2,14.2
qwen3.5-2b,Q8_0,0.5800,0.6933,11.3,7.7,15.0
qwen3.5-2b,Q6_K,0.5783,0.6667,8.8,5.3,12.3
qwen3.5-2b,Q5_K_M,0.5733,0.6800,10.7,7.0,14.3
qwen3.5-2b,Q4_K_M,0.5533,0.6583,10.5,6.7,14.3
qwen3.5-2b,Q3_K_M,0.4883,0.6083,12.0,8.2,15.8
qwen3.5-2b,Q2_K,0.2567,0.2383,-1.8,-5.7,1.8
qwen3.5-4b,F16,0.7350,0.8233,8.8,5.7,12.0
qwen3.5-4b,Q8_0,0.7400,0.8167,7.7,4.5,10.8
qwen3.5-4b,Q6_K,0.7367,0.8117,7.5,4.3,10.8
qwen3.5-4b,Q5_K_M,0.7250,0.8167,9.2,6.2,12.3
qwen3.5-4b,Q4_K_M,0.7283,0.8000,7.2,4.0,10.5
qwen3.5-4b,Q3_K_M,0.6817,0.7500,6.8,3.5,10.2
qwen3.5-4b,Q2_K,0.3517,0.4150,6.3,1.3,11.2
