model,lang,quant,acc,delta_vs_f16_pp,ci_lo_pp,ci_hi_pp,mcnemar_b,mcnemar_c,p_mcnemar,p_holm
qwen3.5-0.8b,ru,F16,0.5000,0.0,0.0,0.0,0,0,1,1
qwen3.5-0.8b,ru,Q8_0,0.4917,-0.8,-2.0,0.3,9,4,0.2668,1
qwen3.5-0.8b,ru,Q6_K,0.4967,-0.3,-2.0,1.3,14,12,0.845,1
qwen3.5-0.8b,ru,Q5_K_M,0.4933,-0.7,-3.0,1.7,26,22,0.6655,1
qwen3.5-0.8b,ru,Q4_K_M,0.4833,-1.7,-4.5,1.2,42,32,0.2954,1
qwen3.5-0.8b,ru,Q3_K_M,0.3767,-12.3,-17.3,-7.3,155,81,1.673e-06,4.684e-05
qwen3.5-0.8b,ru,Q2_K,0.2433,-25.7,-30.7,-20.5,218,64,8.009e-21,2.483e-19
qwen3.5-0.8b,en,F16,0.5867,0.0,0.0,0.0,0,0,1,1
qwen3.5-0.8b,en,Q8_0,0.5817,-0.5,-1.3,0.3,5,2,0.4531,1
qwen3.5-0.8b,en,Q6_K,0.5867,0.0,-1.3,1.3,9,9,1,1
qwen3.5-0.8b,en,Q5_K_M,0.5783,-0.8,-3.0,1.3,23,18,0.5327,1
qwen3.5-0.8b,en,Q4_K_M,0.5800,-0.7,-3.7,2.3,42,38,0.7376,1
qwen3.5-0.8b,en,Q3_K_M,0.4917,-9.5,-13.8,-5.2,118,61,2.454e-05,0.000638
qwen3.5-0.8b,en,Q2_K,0.2800,-30.7,-35.8,-25.5,244,60,1.775e-27,5.68e-26
qwen3.5-2b,ru,F16,0.5850,0.0,0.0,0.0,0,0,1,1
qwen3.5-2b,ru,Q8_0,0.5800,-0.5,-1.7,0.5,7,4,0.5488,1
qwen3.5-2b,ru,Q6_K,0.5783,-0.7,-2.2,0.8,12,8,0.5034,1
qwen3.5-2b,ru,Q5_K_M,0.5733,-1.2,-3.3,0.8,23,16,0.3368,1
qwen3.5-2b,ru,Q4_K_M,0.5533,-3.2,-6.0,-0.5,46,27,0.03442,0.7228
qwen3.5-2b,ru,Q3_K_M,0.4883,-9.7,-13.3,-6.0,96,38,5.722e-07,1.659e-05
qwen3.5-2b,ru,Q2_K,0.2567,-32.8,-37.8,-27.3,258,61,5.6e-30,1.848e-28
qwen3.5-2b,en,F16,0.6917,0.0,0.0,0.0,0,0,1,1
qwen3.5-2b,en,Q8_0,0.6933,0.2,-0.8,1.3,5,6,1,1
qwen3.5-2b,en,Q6_K,0.6667,-2.5,-4.2,-1.0,19,4,0.002599,0.06238
qwen3.5-2b,en,Q5_K_M,0.6800,-1.2,-3.3,1.0,24,17,0.3489,1
qwen3.5-2b,en,Q4_K_M,0.6583,-3.3,-5.8,-1.0,38,18,0.01045,0.2403
qwen3.5-2b,en,Q3_K_M,0.6083,-8.3,-12.0,-4.8,87,37,8.274e-06,0.0002234
qwen3.5-2b,en,Q2_K,0.2383,-45.3,-50.3,-40.3,315,43,3.089e-52,1.081e-50
qwen3.5-4b,ru,F16,0.7350,0.0,0.0,0.0,0,0,1,1
qwen3.5-4b,ru,Q8_0,0.7400,0.5,-0.8,1.7,6,9,0.6072,1
qwen3.5-4b,ru,Q6_K,0.7367,0.2,-1.2,1.5,8,9,1,1
qwen3.5-4b,ru,Q5_K_M,0.7250,-1.0,-2.8,0.7,18,12,0.3616,1
qwen3.5-4b,ru,Q4_K_M,0.7283,-0.7,-3.0,1.7,26,22,0.6655,1
qwen3.5-4b,ru,Q3_K_M,0.6817,-5.3,-8.5,-2.2,65,33,0.001601,0.04002
qwen3.5-4b,ru,Q2_K,0.3517,-38.3,-43.3,-33.5,270,40,4.479e-43,1.523e-41
qwen3.5-4b,en,F16,0.8233,0.0,0.0,0.0,0,0,1,1
qwen3.5-4b,en,Q8_0,0.8167,-0.7,-1.7,0.3,7,3,0.3438,1
qwen3.5-4b,en,Q6_K,0.8117,-1.2,-2.5,0.0,11,4,0.1185,1
qwen3.5-4b,en,Q5_K_M,0.8167,-0.7,-1.8,0.5,8,4,0.3877,1
qwen3.5-4b,en,Q4_K_M,0.8000,-2.3,-4.2,-0.5,23,9,0.02006,0.4413
qwen3.5-4b,en,Q3_K_M,0.7500,-7.3,-10.2,-4.7,59,15,2.553e-07,7.659e-06
qwen3.5-4b,en,Q2_K,0.4150,-40.8,-45.3,-36.3,265,20,9.03e-56,3.251e-54
