0.00.001.284 I srv  llama_server: initializing ...
0.00.137.390 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.137.567 I srv  init_listene: The UI is disabled
0.00.137.570 I srv  init_listene: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.137.666 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.148.254 I srv    load_model: loading model 'D:\papers-models\q\qwen3.5-4b\qwen3.5-4b-Q6_K.gguf'
0.00.918.560 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.479.550 W model has unused tensor blk.32.attn_norm.weight (size = 10240 bytes) -- ignoring
0.01.479.570 W model has unused tensor blk.32.post_attention_norm.weight (size = 10240 bytes) -- ignoring
0.01.479.609 W model has unused tensor blk.32.attn_q.weight (size = 17203200 bytes) -- ignoring
0.01.479.622 W model has unused tensor blk.32.attn_k.weight (size = 2150400 bytes) -- ignoring
0.01.479.635 W model has unused tensor blk.32.attn_v.weight (size = 2150400 bytes) -- ignoring
0.01.479.685 W model has unused tensor blk.32.attn_output.weight (size = 8601600 bytes) -- ignoring
0.01.479.698 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.479.711 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.479.725 W model has unused tensor blk.32.ffn_gate.weight (size = 19353600 bytes) -- ignoring
0.01.479.739 W model has unused tensor blk.32.ffn_down.weight (size = 19353600 bytes) -- ignoring
0.01.479.753 W model has unused tensor blk.32.ffn_up.weight (size = 19353600 bytes) -- ignoring
0.01.479.768 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 10752000 bytes) -- ignoring
0.01.479.782 W model has unused tensor blk.32.nextn.enorm.weight (size = 10240 bytes) -- ignoring
0.01.479.797 W model has unused tensor blk.32.nextn.hnorm.weight (size = 10240 bytes) -- ignoring
0.01.479.840 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 10240 bytes) -- ignoring
0.03.269.840 I cmn          init: llama threadpool init, n_threads = 4
0.03.512.644 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 1024, kv_unified = 'false'
0.03.522.886 I srv  llama_server: model loaded
0.03.522.893 I srv  llama_server: listening on http://127.0.0.1:8089
0.03.729.287 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.729.325 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.06.790.220 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    508, progress = 0.99, t =   3.06 s / 166.21 tokens per second
0.07.053.281 I slot print_timing: id  0 | task 0 | prompt eval time =    3323.93 ms /   512 tokens (    6.49 ms per token,   154.03 tokens per second)
0.07.053.298 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.07.053.300 I slot print_timing: id  0 | task 0 |       total time =    3323.93 ms /   513 tokens
0.07.053.301 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.07.053.374 I slot      release: id  0 | task 0 | stop processing: n_tokens = 512, truncated = 0
0.07.072.881 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6921176
0.07.110.875 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.08.392.846 I slot print_timing: id  0 | task 3 | prompt eval time =     108.81 ms /     9 tokens (   12.09 ms per token,    82.71 tokens per second)
0.08.392.853 I slot print_timing: id  0 | task 3 |        eval time =    1173.10 ms /    32 tokens (   37.84 ms per token,    26.43 tokens per second)
0.08.392.854 I slot print_timing: id  0 | task 3 |       total time =    1281.91 ms /    41 tokens
0.08.392.855 I slot print_timing: id  0 | task 3 |    graphs reused =         31
0.08.392.872 I slot      release: id  0 | task 3 | stop processing: n_tokens = 40, truncated = 0
0.08.409.717 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8260675
0.08.466.496 I slot launch_slot_: id  0 | task 37 | processing task, is_child = 0
0.11.685.185 I slot print_timing: id  0 | task 37 | prompt eval time =    3218.66 ms /   512 tokens (    6.29 ms per token,   159.07 tokens per second)
0.11.685.192 I slot print_timing: id  0 | task 37 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.11.685.194 I slot print_timing: id  0 | task 37 |       total time =    3218.66 ms /   513 tokens
0.11.685.195 I slot print_timing: id  0 | task 37 |    graphs reused =         31
0.11.685.258 I slot      release: id  0 | task 37 | stop processing: n_tokens = 512, truncated = 0
0.11.686.885 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11553061
0.11.720.092 I slot launch_slot_: id  0 | task 40 | processing task, is_child = 0
0.12.997.331 I slot print_timing: id  0 | task 40 | prompt eval time =     107.57 ms /     9 tokens (   11.95 ms per token,    83.67 tokens per second)
