model,quant,bpw,file_gib,dedicated_mib,shared_mib,pp_tps,pp_j_per_tok,tg_tps,tg_j_per_tok,tg_j_q1,tg_j_q3,gpu_power_tg_w,cpu_util_tg,trace_counter_ratio
qwen3.5-0.8b,F16,16.00,1.45,1587,88,331.1,0.0926,51.5,1.0394,1.0278,1.0859,52.4,27,1.179
qwen3.5-0.8b,Q8_0,8.56,0.78,913,88,923.3,0.0391,94.6,0.5571,0.5551,0.5831,51.2,21,1.181
qwen3.5-0.8b,Q6_K,6.64,0.60,741,88,934.9,0.0389,107.7,0.5158,0.5106,0.5344,54.2,21,1.182
qwen3.5-0.8b,Q5_K_M,6.09,0.55,691,88,932.1,0.0389,114.4,0.4757,0.4657,0.4783,52.8,24,1.212
qwen3.5-0.8b,Q4_K_M,5.57,0.50,645,88,934.8,0.0383,119.0,0.4624,0.4528,0.4706,53.5,33,1.198
qwen3.5-0.8b,Q3_K_M,4.89,0.44,585,88,935.5,0.0390,116.6,0.4645,0.4606,0.4745,52.8,39,1.214
qwen3.5-0.8b,Q2_K,4.41,0.40,543,88,874.6,0.0419,125.3,0.4388,0.4328,0.4413,53.0,30,1.202
qwen3.5-2b,F16,16.00,3.63,3355,482,127.9,0.2248,12.0,3.0700,2.8919,3.0910,36.3,15,1.201
qwen3.5-2b,Q8_0,8.53,1.93,2063,92,395.6,0.0836,48.1,1.1453,1.1130,1.1662,54.1,17,1.194
qwen3.5-2b,Q6_K,6.59,1.50,1627,92,405.7,0.0835,58.0,0.9626,0.9560,0.9679,54.8,17,1.195
qwen3.5-2b,Q5_K_M,5.97,1.35,1489,92,403.7,0.0828,63.5,0.8603,0.8591,0.8720,53.8,17,1.207
qwen3.5-2b,Q4_K_M,5.39,1.22,1359,92,404.7,0.0826,69.6,0.7916,0.7868,0.8031,54.2,17,1.204
qwen3.5-2b,Q3_K_M,4.63,1.05,1191,92,405.8,0.0836,67.5,0.8275,0.8241,0.8308,54.5,17,1.200
qwen3.5-2b,Q2_K,4.07,0.92,1067,92,374.1,0.0913,72.8,0.7669,0.7596,0.7674,54.5,18,1.198
qwen3.5-4b,F16,16.00,8.07,3352,5022,41.5,0.6656,2.0,14.1338,14.0907,14.1611,28.4,15,1.198
qwen3.5-4b,Q8_0,8.51,4.29,3363,1246,94.0,0.3089,6.8,4.9664,4.8487,4.9973,33.2,15,1.201
qwen3.5-4b,Q6_K,6.58,3.32,3361,274,97.3,0.3045,21.0,2.6089,2.5942,2.6143,53.7,16,1.212
qwen3.5-4b,Q5_K_M,5.84,2.94,3171,94,161.0,0.2035,30.9,1.8032,1.7803,1.8091,54.8,16,1.199
qwen3.5-4b,Q4_K_M,5.14,2.59,2821,94,161.1,0.2008,34.2,1.6103,1.5996,1.6195,54.0,16,1.210
qwen3.5-4b,Q3_K_M,4.28,2.16,2395,94,161.8,0.2051,33.2,1.6730,1.6523,1.7189,54.7,16,1.195
qwen3.5-4b,Q2_K,3.62,1.82,2065,94,147.9,0.2242,37.0,1.5089,1.4815,1.5237,54.5,16,1.198
